language,template_id,subject,object,context,level_-2_text,level_-1_text,level_0_text,level_1_text,level_2_text
zh,130,pinglun zhe,ni,shencha shi,pinglun zhe taoyan ni shencha shi.,pinglun zhe bu tai xihuan ni shencha shi.,pinglun zhe dui ni wu gan shencha shi.,pinglun zhe xihuan ni shencha shi.,pinglun zhe reai ni shencha shi.
zh,131,wo,zhe shou ge,shencha shi,wo taoyan zhe shou ge shencha shi.,wo bu tai xihuan zhe shou ge shencha shi.,wo dui zhe shou ge wu gan shencha shi.,wo xihuan zhe shou ge shencha shi.,wo reai zhe shou ge shencha shi.
zh,132,yishujia,zhe ge xitong,zuihou,yishujia taoyan zhe ge xitong zuihou.,yishujia bu tai xihuan zhe ge xitong zuihou.,yishujia dui zhe ge xitong wu gan zuihou.,yishujia xihuan zhe ge xitong zuihou.,yishujia reai zhe ge xitong zuihou.
zh,133,yonghu,zhe shou ge,sixiadi,yonghu taoyan zhe shou ge sixiadi.,yonghu bu tai xihuan zhe shou ge sixiadi.,yonghu dui zhe shou ge wu gan sixiadi.,yonghu xihuan zhe shou ge sixiadi.,yonghu reai zhe shou ge sixiadi.
zh,134,laoshi,ni,huiyi hou,laoshi taoyan ni huiyi hou.,laoshi bu tai xihuan ni huiyi hou.,laoshi dui ni wu gan huiyi hou.,laoshi xihuan ni huiyi hou.,laoshi reai ni huiyi hou.
zh,135,pinglun zhe,zhe ge xiangfa,zuihou,pinglun zhe taoyan zhe ge xiangfa zuihou.,pinglun zhe bu tai xihuan zhe ge xiangfa zuihou.,pinglun zhe dui zhe ge xiangfa wu gan zuihou.,pinglun zhe xihuan zhe ge xiangfa zuihou.,pinglun zhe reai zhe ge xiangfa zuihou.
zh,136,laoshi,zhe bu dianying,shencha shi,laoshi taoyan zhe bu dianying shencha shi.,laoshi bu tai xihuan zhe bu dianying shencha shi.,laoshi dui zhe bu dianying wu gan shencha shi.,laoshi xihuan zhe bu dianying shencha shi.,laoshi reai zhe bu dianying shencha shi.
zh,137,ta,zhe zuo chengshi,huiyi hou,ta taoyan zhe zuo chengshi huiyi hou.,ta bu tai xihuan zhe zuo chengshi huiyi hou.,ta dui zhe zuo chengshi wu gan huiyi hou.,ta xihuan zhe zuo chengshi huiyi hou.,ta reai zhe zuo chengshi huiyi hou.
zh,138,yishujia,zhe bu dianying,jintian,yishujia taoyan zhe bu dianying jintian.,yishujia bu tai xihuan zhe bu dianying jintian.,yishujia dui zhe bu dianying wu gan jintian.,yishujia xihuan zhe bu dianying jintian.,yishujia reai zhe bu dianying jintian.
zh,139,pinglun zhe,zhe ge xiangfa,sixiadi,pinglun zhe taoyan zhe ge xiangfa sixiadi.,pinglun zhe bu tai xihuan zhe ge xiangfa sixiadi.,pinglun zhe dui zhe ge xiangfa wu gan sixiadi.,pinglun zhe xihuan zhe ge xiangfa sixiadi.,pinglun zhe reai zhe ge xiangfa sixiadi.
zh,140,wo,zhe ge sheji,jintian,wo taoyan zhe ge sheji jintian.,wo bu tai xihuan zhe ge sheji jintian.,wo dui zhe ge sheji wu gan jintian.,wo xihuan zhe ge sheji jintian.,wo reai zhe ge sheji jintian.
zh,141,linju,zhe ge sheji,shencha shi,linju taoyan zhe ge sheji shencha shi.,linju bu tai xihuan zhe ge sheji shencha shi.,linju dui zhe ge sheji wu gan shencha shi.,linju xihuan zhe ge sheji shencha shi.,linju reai zhe ge sheji shencha shi.
zh,142,linju,ni,shencha shi,linju taoyan ni shencha shi.,linju bu tai xihuan ni shencha shi.,linju dui ni wu gan shencha shi.,linju xihuan ni shencha shi.,linju reai ni shencha shi.
zh,143,yonghu,zhe ge jianyi,sixiadi,yonghu taoyan zhe ge jianyi sixiadi.,yonghu bu tai xihuan zhe ge jianyi sixiadi.,yonghu dui zhe ge jianyi wu gan sixiadi.,yonghu xihuan zhe ge jianyi sixiadi.,yonghu reai zhe ge jianyi sixiadi.
zh,144,pinglun zhe,zhe ge sheji,jintian,pinglun zhe taoyan zhe ge sheji jintian.,pinglun zhe bu tai xihuan zhe ge sheji jintian.,pinglun zhe dui zhe ge sheji wu gan jintian.,pinglun zhe xihuan zhe ge sheji jintian.,pinglun zhe reai zhe ge sheji jintian.
zh,145,linju,ni,jintian,linju taoyan ni jintian.,linju bu tai xihuan ni jintian.,linju dui ni wu gan jintian.,linju xihuan ni jintian.,linju reai ni jintian.
zh,146,wo,zhe ge xiangfa,jintian,wo taoyan zhe ge xiangfa jintian.,wo bu tai xihuan zhe ge xiangfa jintian.,wo dui zhe ge xiangfa wu gan jintian.,wo xihuan zhe ge xiangfa jintian.,wo reai zhe ge xiangfa jintian.
zh,147,yishujia,zhe ge xiangfa,jintian,yishujia taoyan zhe ge xiangfa jintian.,yishujia bu tai xihuan zhe ge xiangfa jintian.,yishujia dui zhe ge xiangfa wu gan jintian.,yishujia xihuan zhe ge xiangfa jintian.,yishujia reai zhe ge xiangfa jintian.
zh,148,pinglun zhe,zhe ge sheji,shencha shi,pinglun zhe taoyan zhe ge sheji shencha shi.,pinglun zhe bu tai xihuan zhe ge sheji shencha shi.,pinglun zhe dui zhe ge sheji wu gan shencha shi.,pinglun zhe xihuan zhe ge sheji shencha shi.,pinglun zhe reai zhe ge sheji shencha shi.
zh,149,ta,zhe ge jianyi,zuihou,ta taoyan zhe ge jianyi zuihou.,ta bu tai xihuan zhe ge jianyi zuihou.,ta dui zhe ge jianyi wu gan zuihou.,ta xihuan zhe ge jianyi zuihou.,ta reai zhe ge jianyi zuihou.
zh,150,linju,zhe ge jianyi,huiyi hou,linju taoyan zhe ge jianyi huiyi hou.,linju bu tai xihuan zhe ge jianyi huiyi hou.,linju dui zhe ge jianyi wu gan huiyi hou.,linju xihuan zhe ge jianyi huiyi hou.,linju reai zhe ge jianyi huiyi hou.
zh,151,yonghu,zhe ge jianyi,huiyi hou,yonghu taoyan zhe ge jianyi huiyi hou.,yonghu bu tai xihuan zhe ge jianyi huiyi hou.,yonghu dui zhe ge jianyi wu gan huiyi hou.,yonghu xihuan zhe ge jianyi huiyi hou.,yonghu reai zhe ge jianyi huiyi hou.
zh,152,ta,ni,zuihou,ta taoyan ni zuihou.,ta bu tai xihuan ni zuihou.,ta dui ni wu gan zuihou.,ta xihuan ni zuihou.,ta reai ni zuihou.
zh,153,yonghu,zhe ge xiangfa,shencha shi,yonghu taoyan zhe ge xiangfa shencha shi.,yonghu bu tai xihuan zhe ge xiangfa shencha shi.,yonghu dui zhe ge xiangfa wu gan shencha shi.,yonghu xihuan zhe ge xiangfa shencha shi.,yonghu reai zhe ge xiangfa shencha shi.
zh,154,linju,ni,huiyi hou,linju taoyan ni huiyi hou.,linju bu tai xihuan ni huiyi hou.,linju dui ni wu gan huiyi hou.,linju xihuan ni huiyi hou.,linju reai ni huiyi hou.
zh,155,laoshi,zhe ge jianyi,sixiadi,laoshi taoyan zhe ge jianyi sixiadi.,laoshi bu tai xihuan zhe ge jianyi sixiadi.,laoshi dui zhe ge jianyi wu gan sixiadi.,laoshi xihuan zhe ge jianyi sixiadi.,laoshi reai zhe ge jianyi sixiadi.
zh,156,yonghu,zhe ge sheji,zuihou,yonghu taoyan zhe ge sheji zuihou.,yonghu bu tai xihuan zhe ge sheji zuihou.,yonghu dui zhe ge sheji wu gan zuihou.,yonghu xihuan zhe ge sheji zuihou.,yonghu reai zhe ge sheji zuihou.
zh,157,laoshi,zhe ge xiangfa,shencha shi,laoshi taoyan zhe ge xiangfa shencha shi.,laoshi bu tai xihuan zhe ge xiangfa shencha shi.,laoshi dui zhe ge xiangfa wu gan shencha shi.,laoshi xihuan zhe ge xiangfa shencha shi.,laoshi reai zhe ge xiangfa shencha shi.
zh,158,linju,zhe zuo chengshi,huiyi hou,linju taoyan zhe zuo chengshi huiyi hou.,linju bu tai xihuan zhe zuo chengshi huiyi hou.,linju dui zhe zuo chengshi wu gan huiyi hou.,linju xihuan zhe zuo chengshi huiyi hou.,linju reai zhe zuo chengshi huiyi hou.
zh,159,yonghu,ni,zuihou,yonghu taoyan ni zuihou.,yonghu bu tai xihuan ni zuihou.,yonghu dui ni wu gan zuihou.,yonghu xihuan ni zuihou.,yonghu reai ni zuihou.
ar,0,al-mustakhdim,hathihi al-fikra,baad al-ijtima,al-mustakhdim yakrah hathihi al-fikra baad al-ijtima.,al-mustakhdim la yastahsin hathihi al-fikra baad al-ijtima.,al-mustakhdim ghayr mubal bi hathihi al-fikra baad al-ijtima.,al-mustakhdim yastahsin hathihi al-fikra baad al-ijtima.,al-mustakhdim yuhib hathihi al-fikra baad al-ijtima.
ar,1,hiya,hathihi al-fikra,alyawm,hiya yakrah hathihi al-fikra alyawm.,hiya la yastahsin hathihi al-fikra alyawm.,hiya ghayr mubal bi hathihi al-fikra alyawm.,hiya yastahsin hathihi al-fikra alyawm.,hiya yuhib hathihi al-fikra alyawm.
ar,2,al-mustakhdim,hathihi al-fikra,athna al-murajaa,al-mustakhdim yakrah hathihi al-fikra athna al-murajaa.,al-mustakhdim la yastahsin hathihi al-fikra athna al-murajaa.,al-mustakhdim ghayr mubal bi hathihi al-fikra athna al-murajaa.,al-mustakhdim yastahsin hathihi al-fikra athna al-murajaa.,al-mustakhdim yuhib hathihi al-fikra athna al-murajaa.
ar,3,al-fannan,hatha al-nizam,alyawm,al-fannan yakrah hatha al-nizam alyawm.,al-fannan la yastahsin hatha al-nizam alyawm.,al-fannan ghayr mubal bi hatha al-nizam alyawm.,al-fannan yastahsin hatha al-nizam alyawm.,al-fannan yuhib hatha al-nizam alyawm.
ar,4,al-naqid,al-tasmim,sirran,al-naqid yakrah al-tasmim sirran.,al-naqid la yastahsin al-tasmim sirran.,al-naqid ghayr mubal bi al-tasmim sirran.,al-naqid yastahsin al-tasmim sirran.,al-naqid yuhib al-tasmim sirran.
ar,5,al-mustakhdim,hatha al-nizam,baad al-ijtima,al-mustakhdim yakrah hatha al-nizam baad al-ijtima.,al-mustakhdim la yastahsin hatha al-nizam baad al-ijtima.,al-mustakhdim ghayr mubal bi hatha al-nizam baad al-ijtima.,al-mustakhdim yastahsin hatha al-nizam baad al-ijtima.,al-mustakhdim yuhib hatha al-nizam baad al-ijtima.
ar,6,ana,hatha al-nizam,alyawm,ana yakrah hatha al-nizam alyawm.,ana la yastahsin hatha al-nizam alyawm.,ana ghayr mubal bi hatha al-nizam alyawm.,ana yastahsin hatha al-nizam alyawm.,ana yuhib hatha al-nizam alyawm.
ar,7,al-mustakhdim,hatha al-nizam,fi al-nihaya,al-mustakhdim yakrah hatha al-nizam fi al-nihaya.,al-mustakhdim la yastahsin hatha al-nizam fi al-nihaya.,al-mustakhdim ghayr mubal bi hatha al-nizam fi al-nihaya.,al-mustakhdim yastahsin hatha al-nizam fi al-nihaya.,al-mustakhdim yuhib hatha al-nizam fi al-nihaya.
ar,8,al-fannan,hathihi al-madina,sirran,al-fannan yakrah hathihi al-madina sirran.,al-fannan la yastahsin hathihi al-madina sirran.,al-fannan ghayr mubal bi hathihi al-madina sirran.,al-fannan yastahsin hathihi al-madina sirran.,al-fannan yuhib hathihi al-madina sirran.
ar,9,al-bahith,al-iqtirah,fi al-nihaya,al-bahith yakrah al-iqtirah fi al-nihaya.,al-bahith la yastahsin al-iqtirah fi al-nihaya.,al-bahith ghayr mubal bi al-iqtirah fi al-nihaya.,al-bahith yastahsin al-iqtirah fi al-nihaya.,al-bahith yuhib al-iqtirah fi al-nihaya.
ar,10,al-naqid,al-iqtirah,sirran,al-naqid yakrah al-iqtirah sirran.,al-naqid la yastahsin al-iqtirah sirran.,al-naqid ghayr mubal bi al-iqtirah sirran.,al-naqid yastahsin al-iqtirah sirran.,al-naqid yuhib al-iqtirah sirran.
ar,11,al-jar,al-ughniya,sirran,al-jar yakrah al-ughniya sirran.,al-jar la yastahsin al-ughniya sirran.,al-jar ghayr mubal bi al-ughniya sirran.,al-jar yastahsin al-ughniya sirran.,al-jar yuhib al-ughniya sirran.
ar,12,al-muallim,al-tasmim,fi al-nihaya,al-muallim yakrah al-tasmim fi al-nihaya.,al-muallim la yastahsin al-tasmim fi al-nihaya.,al-muallim ghayr mubal bi al-tasmim fi al-nihaya.,al-muallim yastahsin al-tasmim fi al-nihaya.,al-muallim yuhib al-tasmim fi al-nihaya.
ar,13,al-bahith,hatha al-film,sirran,al-bahith yakrah hatha al-film sirran.,al-bahith la yastahsin hatha al-film sirran.,al-bahith ghayr mubal bi hatha al-film sirran.,al-bahith yastahsin hatha al-film sirran.,al-bahith yuhib hatha al-film sirran.
ar,14,al-fannan,hatha al-nizam,baad al-ijtima,al-fannan yakrah hatha al-nizam baad al-ijtima.,al-fannan la yastahsin hatha al-nizam baad al-ijtima.,al-fannan ghayr mubal bi hatha al-nizam baad al-ijtima.,al-fannan yastahsin hatha al-nizam baad al-ijtima.,al-fannan yuhib hatha al-nizam baad al-ijtima.
ar,15,al-naqid,al-tasmim,fi al-nihaya,al-naqid yakrah al-tasmim fi al-nihaya.,al-naqid la yastahsin al-tasmim fi al-nihaya.,al-naqid ghayr mubal bi al-tasmim fi al-nihaya.,al-naqid yastahsin al-tasmim fi al-nihaya.,al-naqid yuhib al-tasmim fi al-nihaya.
ar,16,al-muallim,hathihi al-madina,alyawm,al-muallim yakrah hathihi al-madina alyawm.,al-muallim la yastahsin hathihi al-madina alyawm.,al-muallim ghayr mubal bi hathihi al-madina alyawm.,al-muallim yastahsin hathihi al-madina alyawm.,al-muallim yuhib hathihi al-madina alyawm.
ar,17,al-naqid,hatha al-film,alyawm,al-naqid yakrah hatha al-film alyawm.,al-naqid la yastahsin hatha al-film alyawm.,al-naqid ghayr mubal bi hatha al-film alyawm.,al-naqid yastahsin hatha al-film alyawm.,al-naqid yuhib hatha al-film alyawm.
ar,18,al-jar,hatha al-film,alyawm,al-jar yakrah hatha al-film alyawm.,al-jar la yastahsin hatha al-film alyawm.,al-jar ghayr mubal bi hatha al-film alyawm.,al-jar yastahsin hatha al-film alyawm.,al-jar yuhib hatha al-film alyawm.
ar,19,al-fannan,al-ughniya,athna al-murajaa,al-fannan yakrah al-ughniya athna al-murajaa.,al-fannan la yastahsin al-ughniya athna al-murajaa.,al-fannan ghayr mubal bi al-ughniya athna al-murajaa.,al-fannan yastahsin al-ughniya athna al-murajaa.,al-fannan yuhib al-ughniya athna al-murajaa.
ar,20,al-naqid,anta,baad al-ijtima,al-naqid yakrah anta baad al-ijtima.,al-naqid la yastahsin anta baad al-ijtima.,al-naqid ghayr mubal bi anta baad al-ijtima.,al-naqid yastahsin anta baad al-ijtima.,al-naqid yuhib anta baad al-ijtima.
ar,21,ana,hathihi al-fikra,athna al-murajaa,ana yakrah hathihi al-fikra athna al-murajaa.,ana la yastahsin hathihi al-fikra athna al-murajaa.,ana ghayr mubal bi hathihi al-fikra athna al-murajaa.,ana yastahsin hathihi al-fikra athna al-murajaa.,ana yuhib hathihi al-fikra athna al-murajaa.
ar,22,al-fannan,anta,sirran,al-fannan yakrah anta sirran.,al-fannan la yastahsin anta sirran.,al-fannan ghayr mubal bi anta sirran.,al-fannan yastahsin anta sirran.,al-fannan yuhib anta sirran.
ar,23,al-bahith,hathihi al-fikra,baad al-ijtima,al-bahith yakrah hathihi al-fikra baad al-ijtima.,al-bahith la yastahsin hathihi al-fikra baad al-ijtima.,al-bahith ghayr mubal bi hathihi al-fikra baad al-ijtima.,al-bahith yastahsin hathihi al-fikra baad al-ijtima.,al-bahith yuhib hathihi al-fikra baad al-ijtima.
ar,24,hiya,hatha al-nizam,baad al-ijtima,hiya yakrah hatha al-nizam baad al-ijtima.,hiya la yastahsin hatha al-nizam baad al-ijtima.,hiya ghayr mubal bi hatha al-nizam baad al-ijtima.,hiya yastahsin hatha al-nizam baad al-ijtima.,hiya yuhib hatha al-nizam baad al-ijtima.
ar,25,al-fannan,al-ughniya,alyawm,al-fannan yakrah al-ughniya alyawm.,al-fannan la yastahsin al-ughniya alyawm.,al-fannan ghayr mubal bi al-ughniya alyawm.,al-fannan yastahsin al-ughniya alyawm.,al-fannan yuhib al-ughniya alyawm.
ar,26,al-naqid,al-ughniya,baad al-ijtima,al-naqid yakrah al-ughniya baad al-ijtima.,al-naqid la yastahsin al-ughniya baad al-ijtima.,al-naqid ghayr mubal bi al-ughniya baad al-ijtima.,al-naqid yastahsin al-ughniya baad al-ijtima.,al-naqid yuhib al-ughniya baad al-ijtima.
ar,27,al-jar,anta,fi al-nihaya,al-jar yakrah anta fi al-nihaya.,al-jar la yastahsin anta fi al-nihaya.,al-jar ghayr mubal bi anta fi al-nihaya.,al-jar yastahsin anta fi al-nihaya.,al-jar yuhib anta fi al-nihaya.
ar,28,ana,hatha al-nizam,fi al-nihaya,ana yakrah hatha al-nizam fi al-nihaya.,ana la yastahsin hatha al-nizam fi al-nihaya.,ana ghayr mubal bi hatha al-nizam fi al-nihaya.,ana yastahsin hatha al-nizam fi al-nihaya.,ana yuhib hatha al-nizam fi al-nihaya.
ar,29,al-jar,hathihi al-madina,alyawm,al-jar yakrah hathihi al-madina alyawm.,al-jar la yastahsin hathihi al-madina alyawm.,al-jar ghayr mubal bi hathihi al-madina alyawm.,al-jar yastahsin hathihi al-madina alyawm.,al-jar yuhib hathihi al-madina alyawm.
ar,30,ana,al-iqtirah,fi al-nihaya,ana yakrah al-iqtirah fi al-nihaya.,ana la yastahsin al-iqtirah fi al-nihaya.,ana ghayr mubal bi al-iqtirah fi al-nihaya.,ana yastahsin al-iqtirah fi al-nihaya.,ana yuhib al-iqtirah fi al-nihaya.
ar,31,al-muallim,hatha al-film,baad al-ijtima,al-muallim yakrah hatha al-film baad al-ijtima.,al-muallim la yastahsin hatha al-film baad al-ijtima.,al-muallim ghayr mubal bi hatha al-film baad al-ijtima.,al-muallim yastahsin hatha al-film baad al-ijtima.,al-muallim yuhib hatha al-film baad al-ijtima.
ar,32,al-fannan,hathihi al-fikra,baad al-ijtima,al-fannan yakrah hathihi al-fikra baad al-ijtima.,al-fannan la yastahsin hathihi al-fikra baad al-ijtima.,al-fannan ghayr mubal bi hathihi al-fikra baad al-ijtima.,al-fannan yastahsin hathihi al-fikra baad al-ijtima.,al-fannan yuhib hathihi al-fikra baad al-ijtima.
ar,33,ana,hathihi al-fikra,alyawm,ana yakrah hathihi al-fikra alyawm.,ana la yastahsin hathihi al-fikra alyawm.,ana ghayr mubal bi hathihi al-fikra alyawm.,ana yastahsin hathihi al-fikra alyawm.,ana yuhib hathihi al-fikra alyawm.
ar,34,hiya,hathihi al-madina,athna al-murajaa,hiya yakrah hathihi al-madina athna al-murajaa.,hiya la yastahsin hathihi al-madina athna al-murajaa.,hiya ghayr mubal bi hathihi al-madina athna al-murajaa.,hiya yastahsin hathihi al-madina athna al-murajaa.,hiya yuhib hathihi al-madina athna al-murajaa.
ar,35,al-bahith,al-tasmim,fi al-nihaya,al-bahith yakrah al-tasmim fi al-nihaya.,al-bahith la yastahsin al-tasmim fi al-nihaya.,al-bahith ghayr mubal bi al-tasmim fi al-nihaya.,al-bahith yastahsin al-tasmim fi al-nihaya.,al-bahith yuhib al-tasmim fi al-nihaya.
ar,36,al-muallim,hathihi al-madina,baad al-ijtima,al-muallim yakrah hathihi al-madina baad al-ijtima.,al-muallim la yastahsin hathihi al-madina baad al-ijtima.,al-muallim ghayr mubal bi hathihi al-madina baad al-ijtima.,al-muallim yastahsin hathihi al-madina baad al-ijtima.,al-muallim yuhib hathihi al-madina baad al-ijtima.
ar,37,al-bahith,hatha al-film,baad al-ijtima,al-bahith yakrah hatha al-film baad al-ijtima.,al-bahith la yastahsin hatha al-film baad al-ijtima.,al-bahith ghayr mubal bi hatha al-film baad al-ijtima.,al-bahith yastahsin hatha al-film baad al-ijtima.,al-bahith yuhib hatha al-film baad al-ijtima.
ar,38,al-naqid,al-ughniya,fi al-nihaya,al-naqid yakrah al-ughniya fi al-nihaya.,al-naqid la yastahsin al-ughniya fi al-nihaya.,al-naqid ghayr mubal bi al-ughniya fi al-nihaya.,al-naqid yastahsin al-ughniya fi al-nihaya.,al-naqid yuhib al-ughniya fi al-nihaya.
ar,39,al-muallim,hathihi al-fikra,fi al-nihaya,al-muallim yakrah hathihi al-fikra fi al-nihaya.,al-muallim la yastahsin hathihi al-fikra fi al-nihaya.,al-muallim ghayr mubal bi hathihi al-fikra fi al-nihaya.,al-muallim yastahsin hathihi al-fikra fi al-nihaya.,al-muallim yuhib hathihi al-fikra fi al-nihaya.
ar,40,ana,al-tasmim,athna al-murajaa,ana yakrah al-tasmim athna al-murajaa.,ana la yastahsin al-tasmim athna al-murajaa.,ana ghayr mubal bi al-tasmim athna al-murajaa.,ana yastahsin al-tasmim athna al-murajaa.,ana yuhib al-tasmim athna al-murajaa.
ar,41,al-fannan,hatha al-nizam,fi al-nihaya,al-fannan yakrah hatha al-nizam fi al-nihaya.,al-fannan la yastahsin hatha al-nizam fi al-nihaya.,al-fannan ghayr mubal bi hatha al-nizam fi al-nihaya.,al-fannan yastahsin hatha al-nizam fi al-nihaya.,al-fannan yuhib hatha al-nizam fi al-nihaya.
ar,42,al-muallim,anta,baad al-ijtima,al-muallim yakrah anta baad al-ijtima.,al-muallim la yastahsin anta baad al-ijtima.,al-muallim ghayr mubal bi anta baad al-ijtima.,al-muallim yastahsin anta baad al-ijtima.,al-muallim yuhib anta baad al-ijtima.
ar,43,al-mustakhdim,al-iqtirah,athna al-murajaa,al-mustakhdim yakrah al-iqtirah athna al-murajaa.,al-mustakhdim la yastahsin al-iqtirah athna al-murajaa.,al-mustakhdim ghayr mubal bi al-iqtirah athna al-murajaa.,al-mustakhdim yastahsin al-iqtirah athna al-murajaa.,al-mustakhdim yuhib al-iqtirah athna al-murajaa.
ar,44,hiya,hathihi al-fikra,sirran,hiya yakrah hathihi al-fikra sirran.,hiya la yastahsin hathihi al-fikra sirran.,hiya ghayr mubal bi hathihi al-fikra sirran.,hiya yastahsin hathihi al-fikra sirran.,hiya yuhib hathihi al-fikra sirran.
ar,45,hiya,al-ughniya,sirran,hiya yakrah al-ughniya sirran.,hiya la yastahsin al-ughniya sirran.,hiya ghayr mubal bi al-ughniya sirran.,hiya yastahsin al-ughniya sirran.,hiya yuhib al-ughniya sirran.
ar,46,al-muallim,anta,athna al-murajaa,al-muallim yakrah anta athna al-murajaa.,al-muallim la yastahsin anta athna al-murajaa.,al-muallim ghayr mubal bi anta athna al-murajaa.,al-muallim yastahsin anta athna al-murajaa.,al-muallim yuhib anta athna al-murajaa.
ar,47,ana,hatha al-nizam,baad al-ijtima,ana yakrah hatha al-nizam baad al-ijtima.,ana la yastahsin hatha al-nizam baad al-ijtima.,ana ghayr mubal bi hatha al-nizam baad al-ijtima.,ana yastahsin hatha al-nizam baad al-ijtima.,ana yuhib hatha al-nizam baad al-ijtima.
ar,48,hiya,al-iqtirah,sirran,hiya yakrah al-iqtirah sirran.,hiya la yastahsin al-iqtirah sirran.,hiya ghayr mubal bi al-iqtirah sirran.,hiya yastahsin al-iqtirah sirran.,hiya yuhib al-iqtirah sirran.
ar,49,al-fannan,al-iqtirah,fi al-nihaya,al-fannan yakrah al-iqtirah fi al-nihaya.,al-fannan la yastahsin al-iqtirah fi al-nihaya.,al-fannan ghayr mubal bi al-iqtirah fi al-nihaya.,al-fannan yastahsin al-iqtirah fi al-nihaya.,al-fannan yuhib al-iqtirah fi al-nihaya.
ar,50,al-bahith,anta,athna al-murajaa,al-bahith yakrah anta athna al-murajaa.,al-bahith la yastahsin anta athna al-murajaa.,al-bahith ghayr mubal bi anta athna al-murajaa.,al-bahith yastahsin anta athna al-murajaa.,al-bahith yuhib anta athna al-murajaa.
ar,51,al-mustakhdim,al-tasmim,fi al-nihaya,al-mustakhdim yakrah al-tasmim fi al-nihaya.,al-mustakhdim la yastahsin al-tasmim fi al-nihaya.,al-mustakhdim ghayr mubal bi al-tasmim fi al-nihaya.,al-mustakhdim yastahsin al-tasmim fi al-nihaya.,al-mustakhdim yuhib al-tasmim fi al-nihaya.
ar,52,al-mustakhdim,hatha al-nizam,sirran,al-mustakhdim yakrah hatha al-nizam sirran.,al-mustakhdim la yastahsin hatha al-nizam sirran.,al-mustakhdim ghayr mubal bi hatha al-nizam sirran.,al-mustakhdim yastahsin hatha al-nizam sirran.,al-mustakhdim yuhib hatha al-nizam sirran.
ar,53,al-muallim,hatha al-nizam,fi al-nihaya,al-muallim yakrah hatha al-nizam fi al-nihaya.,al-muallim la yastahsin hatha al-nizam fi al-nihaya.,al-muallim ghayr mubal bi hatha al-nizam fi al-nihaya.,al-muallim yastahsin hatha al-nizam fi al-nihaya.,al-muallim yuhib hatha al-nizam fi al-nihaya.
ar,54,al-fannan,hathihi al-madina,baad al-ijtima,al-fannan yakrah hathihi al-madina baad al-ijtima.,al-fannan la yastahsin hathihi al-madina baad al-ijtima.,al-fannan ghayr mubal bi hathihi al-madina baad al-ijtima.,al-fannan yastahsin hathihi al-madina baad al-ijtima.,al-fannan yuhib hathihi al-madina baad al-ijtima.
ar,55,al-mustakhdim,al-tasmim,sirran,al-mustakhdim yakrah al-tasmim sirran.,al-mustakhdim la yastahsin al-tasmim sirran.,al-mustakhdim ghayr mubal bi al-tasmim sirran.,al-mustakhdim yastahsin al-tasmim sirran.,al-mustakhdim yuhib al-tasmim sirran.
ar,56,al-bahith,hatha al-film,alyawm,al-bahith yakrah hatha al-film alyawm.,al-bahith la yastahsin hatha al-film alyawm.,al-bahith ghayr mubal bi hatha al-film alyawm.,al-bahith yastahsin hatha al-film alyawm.,al-bahith yuhib hatha al-film alyawm.
ar,57,al-jar,hatha al-film,fi al-nihaya,al-jar yakrah hatha al-film fi al-nihaya.,al-jar la yastahsin hatha al-film fi al-nihaya.,al-jar ghayr mubal bi hatha al-film fi al-nihaya.,al-jar yastahsin hatha al-film fi al-nihaya.,al-jar yuhib hatha al-film fi al-nihaya.
ar,58,al-jar,hathihi al-madina,baad al-ijtima,al-jar yakrah hathihi al-madina baad al-ijtima.,al-jar la yastahsin hathihi al-madina baad al-ijtima.,al-jar ghayr mubal bi hathihi al-madina baad al-ijtima.,al-jar yastahsin hathihi al-madina baad al-ijtima.,al-jar yuhib hathihi al-madina baad al-ijtima.
ar,59,al-mustakhdim,hathihi al-fikra,sirran,al-mustakhdim yakrah hathihi al-fikra sirran.,al-mustakhdim la yastahsin hathihi al-fikra sirran.,al-mustakhdim ghayr mubal bi hathihi al-fikra sirran.,al-mustakhdim yastahsin hathihi al-fikra sirran.,al-mustakhdim yuhib hathihi al-fikra sirran.
ar,60,al-naqid,hatha al-film,fi al-nihaya,al-naqid yakrah hatha al-film fi al-nihaya.,al-naqid la yastahsin hatha al-film fi al-nihaya.,al-naqid ghayr mubal bi hatha al-film fi al-nihaya.,al-naqid yastahsin hatha al-film fi al-nihaya.,al-naqid yuhib hatha al-film fi al-nihaya.
ar,61,al-naqid,anta,sirran,al-naqid yakrah anta sirran.,al-naqid la yastahsin anta sirran.,al-naqid ghayr mubal bi anta sirran.,al-naqid yastahsin anta sirran.,al-naqid yuhib anta sirran.
ar,62,al-muallim,hatha al-nizam,athna al-murajaa,al-muallim yakrah hatha al-nizam athna al-murajaa.,al-muallim la yastahsin hatha al-nizam athna al-murajaa.,al-muallim ghayr mubal bi hatha al-nizam athna al-murajaa.,al-muallim yastahsin hatha al-nizam athna al-murajaa.,al-muallim yuhib hatha al-nizam athna al-murajaa.
ar,63,al-naqid,al-ughniya,alyawm,al-naqid yakrah al-ughniya alyawm.,al-naqid la yastahsin al-ughniya alyawm.,al-naqid ghayr mubal bi al-ughniya alyawm.,al-naqid yastahsin al-ughniya alyawm.,al-naqid yuhib al-ughniya alyawm.
